20250220_114452,90
20250220_114453,90
20250220_114454,90
20250220_114455,90
20250220_114455,90
20250220_114456,90
20250220_114457,90
20250220_114458,90
20250220_114458,100
20250220_114459,90
20250220_114500,90
20250220_114501,90
20250220_114502,90
20250220_114503,90
20250220_114503,100
20250220_114504,90
20250220_114505,90
20250220_114506,100
20250220_114507,90
20250220_114507,90
20250220_114508,100
20250220_114509,90
20250220_114510,90
20250220_114511,90
20250220_114511,90
20250220_114512,90
20250220_114513,90
20250220_114514,90
20250220_114514,100
20250220_114515,110
20250220_114516,110
20250220_114517,110
20250220_114518,110
20250220_114518,110
20250220_114519,110
20250220_114520,110
20250220_114521,110
20250220_114522,100
20250220_114522,110
20250220_114523,100
20250220_114524,90
20250220_114525,80
20250220_114525,90
20250220_114526,100
20250220_114527,90
20250220_114528,90
20250220_114528,90
20250220_114529,90
20250220_114530,110
20250220_114531,110
20250220_114532,110
20250220_114532,110
20250220_114533,110
20250220_114534,110
20250220_114535,110
20250220_114536,100
20250220_114536,100
20250220_114537,100
20250220_114538,100
20250220_114539,110
20250220_114539,90
20250220_114540,90
20250220_114541,80
20250220_114542,100
20250220_114543,100
20250220_114543,100
20250220_114544,90
20250220_114545,90
20250220_114546,90
20250220_114547,90
20250220_114547,100
20250220_114548,90
20250220_114549,90
20250220_114550,90
20250220_114550,100
20250220_114551,90
20250220_114552,90
20250220_114553,90
20250220_114553,90
20250220_114554,90
20250220_114555,90
20250220_114556,90
20250220_114557,100
20250220_114557,90
20250220_114558,90
20250220_114559,90
20250220_114600,90
20250220_114600,110
20250220_114601,110
20250220_114602,100
20250220_114603,100
20250220_114603,110
20250220_114604,100
20250220_114605,100
20250220_114606,110
20250220_114607,110
20250220_114607,100
20250220_114608,90
20250220_114609,90
20250220_114610,90
20250220_114611,90
20250220_114612,90
20250220_114612,100
20250220_114613,110
20250220_114614,110
20250220_114615,120
20250220_114616,110
20250220_114617,100
20250220_114617,110
20250220_114618,100
20250220_114619,90
20250220_114620,90
20250220_114621,90
20250220_114621,90
20250220_114622,90
20250220_114623,90
20250220_114624,100
20250220_114624,90
20250220_114625,90
20250220_114626,90
20250220_114627,100
20250220_114628,90
20250220_114629,90
20250220_114629,90
20250220_114630,100
20250220_114631,80
20250220_114632,90
20250220_114633,100
20250220_114633,100
20250220_114634,90
20250220_114635,90
20250220_114636,90
20250220_114637,90
20250220_114637,90
20250220_114638,90
20250220_114639,100
20250220_114640,90
20250220_114641,90
20250220_114642,90
20250220_114642,90
20250220_114643,110
20250220_114644,110
20250220_114645,110
20250220_114646,100
20250220_114647,100
20250220_114647,110
20250220_114648,110
20250220_114649,110
20250220_114650,110
20250220_114651,100
20250220_114651,110
20250220_114652,100
20250220_114653,90
20250220_114654,90
20250220_114655,90
20250220_114656,100
20250220_114656,90
20250220_114657,90
20250220_114658,90
20250220_114659,90
20250220_114659,90
20250220_114700,90
20250220_114701,100
20250220_114702,110
20250220_114703,110
20250220_114704,110
20250220_114704,120
20250220_114705,110
20250220_114706,110
20250220_114707,100
20250220_114707,110
20250220_114708,110
20250220_114709,100
20250220_114710,100
20250220_114711,100
20250220_114712,90
20250220_114712,90
20250220_114713,90
20250220_114714,90
20250220_114715,90
20250220_114716,100
20250220_114716,90
20250220_114717,90
20250220_114718,90
20250220_114719,100
20250220_114719,90
20250220_114720,90
20250220_114721,90
20250220_114722,90
20250220_114723,90
20250220_114723,90
20250220_114724,90
20250220_114725,90
20250220_114726,90
20250220_114726,90
20250220_114727,90
20250220_114728,90
20250220_114729,100
20250220_114729,90
20250220_114730,90
20250220_114731,90
20250220_114732,90
20250220_114733,90
20250220_114733,90
20250220_114734,90
20250220_114735,90
20250220_114736,100
20250220_114736,90
20250220_114737,90
20250220_114738,90
20250220_114739,90
20250220_114739,90
20250220_114740,90
20250220_114741,90
20250220_114742,90
20250220_114743,100
20250220_114743,100
20250220_114744,110
20250220_114745,100
20250220_114746,110
20250220_114746,100
20250220_114747,100
20250220_114748,110
20250220_114749,100
20250220_114749,100
20250220_114750,100
20250220_114751,110
20250220_114752,100
20250220_114753,110
20250220_114753,100
20250220_114754,90
20250220_114755,90
20250220_114756,90
20250220_114757,90
20250220_114758,100
20250220_114758,90
20250220_114759,90
20250220_114800,90
20250220_114801,90
20250220_114802,100
20250220_114803,110
20250220_114804,110
20250220_114804,110
20250220_114805,100
20250220_114806,110
20250220_114807,110
20250220_114808,110
20250220_114808,110
20250220_114809,120
20250220_114810,100
20250220_114811,90
20250220_114812,90
20250220_114813,90
20250220_114813,100
20250220_114814,90
20250220_114815,90
20250220_114816,90
20250220_114817,90
20250220_114818,90
20250220_114818,90
20250220_114819,90
20250220_114820,90
20250220_114821,100
20250220_114822,90
20250220_114823,90
20250220_114823,100
20250220_114824,90
20250220_114825,90
20250220_114826,90
20250220_114827,90
20250220_114828,90
20250220_114828,90
20250220_114829,90
20250220_114830,90
20250220_114831,100
20250220_114832,90
20250220_114833,90
20250220_114833,90
20250220_114834,90
20250220_114835,90
20250220_114836,90
20250220_114837,100
20250220_114838,100
20250220_114839,100
20250220_114840,110
20250220_114841,110
20250220_114841,110
20250220_114842,100
20250220_114843,100
20250220_114844,100
20250220_114845,110
20250220_114846,110
20250220_114846,110
20250220_114847,100
20250220_114848,90
20250220_114849,80
20250220_114850,100
20250220_114851,100
20250220_114851,100
20250220_114852,90
20250220_114853,90
20250220_114854,90
20250220_114855,90
20250220_114856,100
20250220_114856,110
20250220_114857,120
20250220_114858,110
20250220_114859,110
20250220_114859,110
20250220_114900,110
20250220_114901,100
20250220_114902,110
20250220_114903,100
20250220_114903,110
20250220_114904,100
20250220_114905,90
20250220_114906,100
20250220_114907,100
20250220_114908,100
20250220_114908,90
20250220_114909,90
20250220_114910,90
20250220_114911,90
20250220_114912,90
